,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
301,1833199729671740800,300.9623356058576,23.336629388172494,61.8755519801555,-4.202837683668691,64.01198953137545,3903.9124,-1003.9934560286667,0.011805945,-912.7184937140594,0.014524547,-2.432786,0.14438221,15.615016,15.611093,15.617993,37,1009.1629148733527,834.3832353897019
333,2029433521248546304,300.9093570564763,29.894467940509667,67.41054175230298,-0.6762766090675632,62.48650893182535,1767.3309,683.1962193381917,0.027248329,-525.5010370094575,0.036196236,-45.141792,0.123327285,15.993936,15.985009,16.004185,37,-678.0267604935057,447.16577868509995
1089,2038078706303237632,290.4686735984255,28.667304918149956,61.82328021506992,6.623438741901185,42.42273027062253,2861.0845,864.8029268978893,0.012337848,255.4802687763996,0.015375623,-30.082216,0.45019466,23.553442,23.544634,23.561348,37,-859.6334680532033,-333.81552710075715
1,1872046574983497216,316.753662752556,38.75607277205679,82.3398800038688,-5.830395626717013,286.0053518616485,9882.616,4105.976428209489,0.025807729,3155.9416398273515,0.026797226,-64.42505,0.13015395,3.4960673,3.4957001,3.496407,38,-3955.206236794437,-3124.1937897388093
2,1872046609345556480,316.7484792940004,38.76386244649797,82.34297369475966,-5.822177113164248,285.99494829578117,4774.757,4164.2086922846665,0.055289943,3249.613883848584,0.055022996,-65.93776,0.13571152,3.4962456,3.4956272,3.4970064,38,-4013.438500869614,-3217.866033760042
27,2009481748875806976,348.33773395483047,57.16966644274312,109.90751609028699,-3.200796600684211,152.86400389732427,3091.8787,2074.413511999184,0.050308358,294.4519772796575,0.04295604,-18.637081,0.19031203,6.540009,6.537653,6.542179,38,-1923.643320584131,-262.70412719111516
38,411413822074322432,17.094749861202942,54.91320397755905,125.38813226423677,-7.877732160933997,130.28806976927032,299.66635,3468.251393146748,0.3536465,-1564.8444473117734,0.36520144,-96.93266,0.18383332,7.66964,7.6459293,7.7042155,39,-3328.3145613410825,1435.4569153585076
74,527956488340229632,8.14303081725879,67.23432836058251,121.10311604313453,4.429592414714709,101.08642729912918,219.3971,1748.3189457862784,0.4223696,-347.5892927945718,0.5342037,-4.017064,1.4191387,9.886737,9.843398,9.944095,39,-1608.3821139806132,218.20176084130588
274,523433578540463488,16.799809785868064,63.942745992881164,124.66201666560114,1.1239545136721583,66.36663573327061,4119.3257,1546.9442483739479,0.013699653,319.0294431936024,0.01628202,2.7436407,0.19114101,15.061804,15.057525,15.0653305,39,-1407.0074165682827,-448.4169751468683
152,188771135583573504,79.78833900872726,40.09609817127969,167.68373661369685,1.5411330955275024,79.6021083335795,792.43976,520.5689114669946,0.13219275,-664.487871734592,0.09714893,66.53473,0.14077222,12.5573015,12.545563,12.572234,40,-494.8154187471604,532.060848506023
730,3456337827237371264,86.51057429433878,37.28238239239905,172.90603921705414,4.409330253887317,47.85510637674717,2446.6902,486.4104953996589,0.021543106,-510.13921153506703,0.012760092,-28.937887,0.16777942,20.880243,20.87171,20.888998,40,-460.6570026798247,377.7121883064981
1681,204358907633155840,70.40451819316198,42.116606972149675,161.73619169584782,-2.778397628185517,36.64702967075256,893.866,534.6309373780439,0.04513841,-414.946302794463,0.037006855,112.66506,0.19623436,27.258533,27.224733,27.292204,40,-508.8774446582097,282.51927956589407
2992,185773832524949120,74.50051442591169,34.26711537942387,169.8502890086229,-5.314248975479136,30.09189858995713,996.25366,581.569189675496,0.03366916,-203.20510944731421,0.023876505,39.16224,0.13107927,33.190536,33.1588,33.22174,40,-555.8156969556618,70.77808621874527
48,3101923001490347392,103.07278431613713,-5.17372829320013,217.63573185061713,-2.1673839034415723,114.35472221987995,2733.0854,-543.690347077658,0.028971028,-3.5153137420418212,0.026677793,-7.203856,0.14990102,8.742636,8.739596,8.746167,41,501.7784332491027,-51.38889649552878
49,3101920046552857728,103.07260095888746,-5.19006973623282,217.65021324399603,-2.1749777395811285,114.29110218630719,5212.006,-576.3310639517254,0.02290138,-13.043765139907665,0.020435125,-8.270993,0.3634224,8.746981,8.745741,8.748723,41,534.4191501231701,-41.86044509766294
1053,3032390401547521024,107.70441054807327,-14.431684088143642,227.9616931069922,-2.3410074944766035,42.865613818540965,2391.0032,-472.4897882127286,0.013391569,303.9979750409534,0.013066675,70.76682,0.2010755,23.314919,23.306406,23.32337,41,430.57787438417336,-358.90218527852403
2932,3033005406506033664,108.95931641149,-13.048694778534458,227.30042808247663,-0.6200860690883166,30.344010983158466,1236.2175,-510.85241685936796,0.017998716,176.96412584613591,0.019460669,66.790565,0.24073315,32.929916,32.900375,32.956078,41,468.9405030308127,-231.8683360837065
5519,3353573072458196736,105.32367510740056,13.801932790412216,201.6653493353445,8.39186448732144,24.5210923259233,549.8482,415.49810273907735,0.04743418,-97.40221421781408,0.04236554,24.90383,1.7946402,40.705704,40.648598,40.778194,41,-457.4100165676326,42.498003980243475
147,5640565607657897728,128.20875984158528,-31.497462976881874,252.26501367621924,4.971555985161912,82.20799300166873,4622.397,-1113.7390982321285,0.013030536,762.4197048630538,0.020226894,14.728065,0.1501858,12.162493,12.159834,12.165183,42,1042.4318226791104,-754.0192600295727
773,5534742080239458048,120.01176098791326,-40.042428238007275,255.65313302305117,-5.302945738185175,47.26302094136735,4569.9854,484.13132513846017,0.011790517,-677.3975599880528,0.011009173,7.290274,0.21197414,21.152534,21.14723,21.158949,42,-555.4386006914783,685.7980048215338
101,5369480397355535872,175.83729025207458,-51.84293422356801,292.36146337270594,9.625900628541492,90.73352543490094,5259.0015,654.3030203629564,0.013715183,-539.5169693455008,0.014528917,3.210656,0.26464793,11.018497,11.01623,11.020445,43,-777.13975012785,478.88630247785903
33,5975663354131618304,259.75125274377365,-34.997795092684065,351.8417331384529,1.409878144369392,138.0662741149332,4873.203,1131.5170733698837,0.025284708,-215.5688956960665,0.020072456,5.6770945,0.25323027,7.240612,7.239102,7.2419486,44,-1180.1193041728916,56.033227446622305
50,5951165616611763456,259.7726543146931,-46.63575837613547,342.3018912286222,-5.271502960173301,113.75134443945775,1567.9698,1029.6095441964615,0.085671164,106.93496669702823,0.073817015,26.03561,0.19670802,8.7889385,8.783745,8.795132,44,-1078.2117749994693,-266.47063494647244
52,5951165616635298816,259.7685324639266,-46.63635961449501,342.29977692189016,-5.269518301003013,113.28575402688406,263.32132,952.0351652393872,0.48283255,138.38030784958903,0.42960048,25.05777,1.0711033,8.824037,8.789234,8.856864,44,-1000.6373960423949,-297.91597609903323
